t,S_b0,S_b1,S_b2,S_b3,S_b4,S_b5,S_b6,S_b7,S_b8,S_b9,S_b10,S_b11,S_b12,S_b13,S_b14
0.000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.050,1.741324e-02,1.741342e-02,1.741319e-02,1.741342e-02,1.741319e-02,1.741342e-02,1.741319e-02,1.741342e-02,1.741319e-02,1.741342e-02,1.741319e-02,1.741342e-02,1.741319e-02,1.741342e-02,1.741324e-02
0.100,5.524131e-02,5.524372e-02,5.524303e-02,5.524372e-02,5.524303e-02,5.524372e-02,5.524303e-02,5.524372e-02,5.524303e-02,5.524372e-02,5.524303e-02,5.524372e-02,5.524303e-02,5.524372e-02,5.524131e-02
0.150,1.044832e-01,1.045025e-01,1.045012e-01,1.045025e-01,1.045012e-01,1.045025e-01,1.045012e-01,1.045025e-01,1.045012e-01,1.045025e-01,1.045012e-01,1.045025e-01,1.045012e-01,1.045025e-01,1.044832e-01
0.200,1.596902e-01,1.597773e-01,1.597754e-01,1.597773e-01,1.597754e-01,1.597773e-01,1.597754e-01,1.597773e-01,1.597754e-01,1.597773e-01,1.597754e-01,1.597773e-01,1.597754e-01,1.597773e-01,1.596902e-01
0.250,2.168191e-01,2.170945e-01,2.170922e-01,2.170946e-01,2.170922e-01,2.170946e-01,2.170922e-01,2.170946e-01,2.170922e-01,2.170946e-01,2.170922e-01,2.170946e-01,2.170922e-01,2.170945e-01,2.168191e-01
0.300,2.728060e-01,2.734956e-01,2.734931e-01,2.734958e-01,2.734931e-01,2.734958e-01,2.734931e-01,2.734958e-01,2.734931e-01,2.734958e-01,2.734931e-01,2.734958e-01,2.734931e-01,2.734956e-01,2.728060e-01
0.350,3.254104e-01,3.268785e-01,3.268763e-01,3.268794e-01,3.268763e-01,3.268794e-01,3.268763e-01,3.268794e-01,3.268763e-01,3.268794e-01,3.268763e-01,3.268794e-01,3.268763e-01,3.268785e-01,3.254104e-01
0.400,3.731191e-01,3.758986e-01,3.758984e-01,3.759016e-01,3.758984e-01,3.759016e-01,3.758984e-01,3.759016e-01,3.758984e-01,3.759016e-01,3.758984e-01,3.759016e-01,3.758984e-01,3.758986e-01,3.731191e-01
0.450,4.150510e-01,4.198774e-01,4.198825e-01,4.198858e-01,4.198825e-01,4.198858e-01,4.198825e-01,4.198858e-01,4.198825e-01,4.198858e-01,4.198825e-01,4.198858e-01,4.198825e-01,4.198774e-01,4.150510e-01
0.500,4.508508e-01,4.587071e-01,4.587250e-01,4.587282e-01,4.587250e-01,4.587282e-01,4.587250e-01,4.587282e-01,4.587250e-01,4.587282e-01,4.587250e-01,4.587282e-01,4.587250e-01,4.587071e-01,4.508508e-01
