t,S_mid,max_chi,trunc_err
0.000,0.000000,1,0.000e+00
0.050,0.017413,5,-9.992e-15
0.100,0.055244,6,-1.832e-14
0.150,0.104502,6,-3.098e-14
0.200,0.159777,6,-5.018e-14
0.250,0.217095,7,-6.517e-14
0.300,0.273496,8,-7.883e-14
0.350,0.326879,9,-7.205e-14
0.400,0.375902,10,-7.594e-14
0.450,0.419886,10,-9.304e-14
0.500,0.458728,12,-1.260e-13
0.550,0.492800,12,-1.670e-13
0.600,0.522844,12,-2.153e-13
0.650,0.549868,12,-2.772e-13
0.700,0.575026,15,-3.333e-13
0.750,0.599492,16,-4.047e-13
0.800,0.624344,19,-4.761e-13
0.850,0.650447,20,-5.413e-13
0.900,0.678379,21,-5.964e-13
0.950,0.708394,20,-6.625e-13
1.000,0.740428,22,-7.367e-13
1.050,0.774148,23,-8.070e-13
1.100,0.809032,25,-8.781e-13
1.150,0.844464,28,-9.525e-13
1.200,0.879829,28,-1.040e-12
1.250,0.914595,31,-1.128e-12
1.300,0.948375,34,-1.240e-12
1.350,0.980967,35,-1.360e-12
1.400,1.012358,39,-1.488e-12
1.450,1.042708,40,-1.619e-12
1.500,1.072317,40,-1.769e-12
