t,S_mid,max_chi,trunc_err
0.000,0.000000,1,0.000e+00
0.050,0.017413,5,-2.776e-14
0.100,0.055244,6,-4.796e-14
0.150,0.104502,6,-7.594e-14
0.200,0.159777,6,-1.251e-13
0.250,0.217095,7,-1.658e-13
0.300,0.273496,8,-2.039e-13
0.350,0.326879,9,-1.987e-13
0.400,0.375902,10,-2.335e-13
0.450,0.419886,10,-2.799e-13
0.500,0.458728,12,-3.724e-13
0.550,0.492800,12,-4.700e-13
0.600,0.522844,12,-6.055e-13
0.650,0.549868,12,-7.739e-13
0.700,0.575026,15,-9.140e-13
0.750,0.599492,16,-1.096e-12
0.800,0.624344,19,-1.294e-12
0.850,0.650447,20,-1.477e-12
0.900,0.678379,21,-1.597e-12
0.950,0.708394,20,-1.780e-12
1.000,0.740428,22,-2.006e-12
1.050,0.774148,23,-2.203e-12
1.100,0.809032,25,-2.416e-12
1.150,0.844464,28,-2.632e-12
1.200,0.879829,28,-2.893e-12
1.250,0.914595,30,-3.181e-12
1.300,0.948375,34,-3.523e-12
1.350,0.980967,35,-3.880e-12
1.400,1.012358,40,-4.268e-12
1.450,1.042708,40,-4.666e-12
1.500,1.072317,41,-5.133e-12
