t,S_mid,max_chi,trunc_err
0.000,0.000000,1,0.000e+00
0.050,0.017413,5,-1.443e-14
0.100,0.055244,6,-2.676e-14
0.150,0.104502,6,-4.563e-14
0.200,0.159777,6,-7.405e-14
0.250,0.217095,7,-9.903e-14
0.300,0.273496,8,-1.239e-13
0.350,0.326879,9,-1.236e-13
0.400,0.375902,10,-1.354e-13
0.450,0.419886,10,-1.619e-13
0.500,0.458728,12,-2.108e-13
0.550,0.492800,12,-2.633e-13
0.600,0.522844,12,-3.358e-13
0.650,0.549868,12,-4.163e-13
0.700,0.575026,15,-4.922e-13
0.750,0.599492,16,-5.956e-13
0.800,0.624344,16,-6.988e-13
0.850,0.650447,16,-7.966e-13
0.900,0.678379,16,-8.619e-13
0.950,0.708394,16,-9.566e-13
1.000,0.740428,16,-1.070e-12
1.050,0.774148,16,-1.166e-12
1.100,0.809032,16,-1.274e-12
1.150,0.844464,16,-1.384e-12
1.200,0.879829,16,-1.513e-12
1.250,0.914595,16,-1.654e-12
1.300,0.948375,16,-1.777e-12
1.350,0.980967,16,-1.789e-12
1.400,1.012358,16,-1.441e-12
1.450,1.042708,16,3.963e-14
1.500,1.072317,16,4.775e-12
1.550,1.101565,16,1.857e-11
1.600,1.130852,16,5.666e-11
1.650,1.160542,16,1.577e-10
1.700,1.190909,16,4.167e-10
1.750,1.222106,16,1.060e-09
1.800,1.254149,16,2.613e-09
1.850,1.286928,16,6.256e-09
1.900,1.320232,16,1.458e-08
1.950,1.353788,16,3.312e-08
2.000,1.387307,16,7.339e-08
