t,S_mid,max_chi,trunc_err
0.000,0.000000,1,0.000e+00
0.050,0.017413,5,-1.887e-14
0.100,0.055244,6,-3.375e-14
0.150,0.104502,6,-5.673e-14
0.200,0.159777,6,-8.926e-14
0.250,0.217095,7,-1.164e-13
0.300,0.273496,8,-1.472e-13
0.350,0.326879,9,-1.399e-13
0.400,0.375902,10,-1.502e-13
0.450,0.419886,10,-1.865e-13
0.500,0.458728,12,-2.485e-13
0.550,0.492800,12,-3.104e-13
0.600,0.522844,12,-3.966e-13
0.650,0.549868,12,-5.071e-13
0.700,0.575026,15,-6.040e-13
0.750,0.599492,16,-7.258e-13
0.800,0.624344,19,-8.621e-13
0.850,0.650447,20,-9.911e-13
0.900,0.678379,21,-1.077e-12
0.950,0.708394,20,-1.208e-12
1.000,0.740428,22,-1.354e-12
1.050,0.774148,23,-1.483e-12
1.100,0.809032,25,-1.633e-12
1.150,0.844464,28,-1.775e-12
1.200,0.879829,28,-1.947e-12
1.250,0.914595,30,-2.126e-12
1.300,0.948375,34,-2.345e-12
1.350,0.980967,35,-2.572e-12
1.400,1.012358,40,-2.842e-12
1.450,1.042708,40,-3.106e-12
1.500,1.072317,40,-3.410e-12
